Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dalvin Cook (15801338),Dalvin Cook,15801338,RB/FLEX,9000,LAR@MIN 11/19/2020 04:00PM ET,MIN,24.94
RB,J.D. McKissic (15801340),J.D. McKissic,15801340,RB/FLEX,7300,WAS@ATL 11/19/2020 12:00PM ET,WAS,13.69
WR,Julio Jones (15801392),Julio Jones,15801392,WR/FLEX,7000,WAS@ATL 11/19/2020 12:00PM ET,ATL,18.35
RB,Saquon Barkley (15801342),Saquon Barkley,15801342,RB/FLEX,6800,NYG@CLE 11/19/2020 02:00PM ET,NYG,18.98
WR,Cooper Kupp (15801394),Cooper Kupp,15801394,WR/FLEX,6700,LAR@MIN 11/19/2020 04:00PM ET,LAR,13.36
QB,Matt Ryan (15801325),Matt Ryan,15801325,QB,6700,WAS@ATL 11/19/2020 12:00PM ET,ATL,19.02
RB,Todd Gurley II (15801344),Todd Gurley II,15801344,RB/FLEX,6500,WAS@ATL 11/19/2020 12:00PM ET,ATL,17.83
QB,Baker Mayfield (15801326),Baker Mayfield,15801326,QB,6400,NYG@CLE 11/19/2020 02:00PM ET,CLE,17.81
RB,Nick Chubb (15801346),Nick Chubb,15801346,RB/FLEX,6200,NYG@CLE 11/19/2020 02:00PM ET,CLE,11.70
WR,Robert Woods (15801396),Robert Woods,15801396,WR/FLEX,6100,LAR@MIN 11/19/2020 04:00PM ET,LAR,12.04
QB,Jared Goff (15801327),Jared Goff,15801327,QB,5900,LAR@MIN 11/19/2020 04:00PM ET,LAR,15.44
WR,Calvin Ridley (15801398),Calvin Ridley,15801398,WR/FLEX,5900,WAS@ATL 11/19/2020 12:00PM ET,ATL,12.73
WR,Odell Beckham Jr. (15801400),Odell Beckham Jr.,15801400,WR/FLEX,5800,NYG@CLE 11/19/2020 02:00PM ET,CLE,12.47
QB,Dwayne Haskins Jr. (15801328),Dwayne Haskins Jr.,15801328,QB,5700,WAS@ATL 11/19/2020 12:00PM ET,WAS,14.50
WR,Terry McLaurin (15801402),Terry McLaurin,15801402,WR/FLEX,5600,WAS@ATL 11/19/2020 12:00PM ET,WAS,10.48
RB,Darrell Henderson Jr. (15801348),Darrell Henderson Jr.,15801348,RB/FLEX,5500,LAR@MIN 11/19/2020 04:00PM ET,LAR,11.38
